stress_condition,observability_view,available_features,selected_features,block_length,aggregation,score_mixture,threshold_quantile,weighting,fixed_point_q,roc_auc,auc_pr,f1,balanced_accuracy,mcc,fpr
CACHE,TIER2_FULL,8,8,250,mean,0.75,0.9,uniform,15,0.9653371320037988,0.943679768833253,0.9582251082251082,0.9563152896486229,0.9166328688565171,0.08736942070275404
ATOMIC,TIER2_FULL,8,3,250,median,0.25,0.95,inv_var,15,0.945675495058211,0.9476087582544466,0.9346405228758169,0.9377967711301044,0.8775535823241855,0.037037037037037035
MEMBW,TIER2_FULL,8,3,150,median,0.75,0.99,uniform,15,0.8223140495867769,0.8757256528455377,0.8414636859081304,0.8636363636363636,0.7536139578780459,0.007575757575757576
BRANCH,TIER1_ALT_FULL,18,10,100,median,0.25,0.99,inv_var,15,0.588671297515138,0.6764288423508837,0.4263820470717022,0.6299185888738128,0.36960179176703933,0.015151515151515152
TLB,TIER1_ALT_FULL,18,10,100,median,0.5,0.99,inv_var,15,0.5400080106027979,0.6580179323924408,0.41940591954939155,0.6273556460123624,0.36701998952958753,0.015151515151515152
