setup,event,view,selected_features,available_channels,retained_percent,block_length,aggregation,score_mixture,weighting,fixed_point_q,threshold_quantile,roc_auc,auc_pr,f1,mcc,fpr,area_overhead_percent,idle_power_overhead_percent
A,DROOP,Transient,15,181,8.287292817679559,1000,median,0.0,inverse,15,0.99,1.0,1.0000000000000002,0.99625468164794,0.9924202817553172,0.0077519379844961,0.0825346341463414,0.0604259154929577
A,RH,Standard,20,181,11.049723756906078,550,median,1.0,uniform,8,0.99,1.0,1.0000000000000002,0.9958333333333332,0.991662969499982,0.0085106382978723,0.1095447219512195,0.0804371830985915
B,DROOP,Transient,15,460,3.260869565217391,200,median,0.5,inverse,15,0.99,0.9986196351589544,0.9992729631783812,0.9954162945268584,0.990814535196872,0.0076804915514592,0.0825346341463414,0.0604259154929577
B,SPECTRE,Standard,30,460,6.521739130434782,700,median,0.75,uniform,8,0.99,0.99984984984985,0.9998577524893314,0.994593607305936,0.989185182948768,0.0109609609609609,0.1613995382113821,0.1184540845070422
