setup,event,minimum_budget,maximum_budget,saturation_budget,mcc_at_minimum_budget,mcc_at_saturation_budget,mcc_at_maximum_budget,area_at_saturation_percent,power_at_saturation_percent,area_at_maximum_percent,power_at_maximum_percent
A,DROOP,15,50,15,0.9924202817553172,0.9924202817553172,0.5968270090130225,0.0825346341463414,0.0604259154929577,0.2678158699186991,0.1969949295774647
A,RH,5,30,20,0.1802371135320217,0.991662969499982,0.9908247339270144,0.10954472195121949,0.0804371830985915,0.1613995382113821,0.1184540845070422
B,DROOP,15,50,15,0.990814535196872,0.990814535196872,0.9885913258113004,0.0825346341463414,0.0604259154929577,0.2672745300813007,0.1964935211267605
B,SPECTRE,5,30,5,0.9863218048917212,0.9863218048917212,0.989185182948768,0.0295971382113821,0.0214061971830985,0.1613995382113821,0.1184540845070422
