setup,src,dst,rho,abs_rho,edge_stability,dependence_score,graph_method
A,Core0 (Socket 0).1_IPC,Core0 (Socket 0).20_PhysIPC,0.3577984290771006,0.3577984290771006,1.0,0.3577984290771006,stable_rank_precision
A,Core0 (Socket 0).1_IPC,Core0 (Socket 0).21_PhysIPC%,0.35142123424472893,0.35142123424472893,1.0,0.35142123424472893,stable_rank_precision
A,Core0 (Socket 0).20_PhysIPC,Core0 (Socket 0).21_PhysIPC%,0.35142123424473076,0.35142123424473076,1.0,0.35142123424473076,stable_rank_precision
A,Core0 (Socket 0).22_INSTnom,Core0 (Socket 0).23_INSTnom%,0.30800140041932506,0.30800140041932506,1.0,0.30800140041932506,stable_rank_precision
A,Core0 (Socket 0).22_INSTnom,Core0 (Socket 0)_EXEC,0.31674020088707255,0.31674020088707255,1.0,0.31674020088707255,stable_rank_precision
A,Core0 (Socket 0).23_INSTnom%,Core0 (Socket 0)_EXEC,0.30800140041932006,0.30800140041932006,1.0,0.30800140041932006,stable_rank_precision
A,Core0 (Socket 0).3_AFREQ,Core0 (Socket 0).4_CFREQ,0.19521148044452785,0.19521148044452785,1.0,0.19521148044452785,stable_rank_precision
A,Core0 (Socket 0).5_L3MISS,Core1 (Socket 0).5_L3MISS,0.31147334262801535,0.31147334262801535,1.0,0.31147334262801535,stable_rank_precision
A,Core0 (Socket 0).5_L3MISS,Core2 (Socket 0).5_L3MISS,0.2730061370080329,0.2730061370080329,1.0,0.2730061370080329,stable_rank_precision
A,Core0 (Socket 0).5_L3MISS,Core3 (Socket 0).5_L3MISS,0.2794830579052033,0.2794830579052033,1.0,0.2794830579052033,stable_rank_precision
A,Core0 (Socket 0).6_L2MISS,Core0 (Socket 0).7_L3HIT,0.2005275978470826,0.2005275978470826,1.0,0.2005275978470826,stable_rank_precision
A,Core0 (Socket 0).6_L2MISS,Core0 (Socket 0).8_L2HIT,0.2196773218860179,0.2196773218860179,1.0,0.2196773218860179,stable_rank_precision
A,Core0 (Socket 0).6_L2MISS,Core0 (Socket 0).9_L3MPI,0.21259600273118937,0.21259600273118937,1.0,0.21259600273118937,stable_rank_precision
