setup,event,selected_features,available_channels,feature_reduction_percent,adders,multipliers,serial_cycles,area_overhead_percent,idle_power_overhead_percent
A,DROOP,15,181,91.71270718232044,28,32,148,0.08253463414634148,0.060425915492957734
A,RH,20,181,88.95027624309392,39,42,201,0.10954472195121952,0.08043718309859153
B,DROOP,15,460,96.73913043478261,28,32,148,0.08253463414634146,0.060425915492957734
B,SPECTRE,30,460,93.47826086956522,57,62,295,0.16139953821138212,0.11845408450704227
