setup,feature,domain,graph_centrality,edge_stability,conditional_dependence,cias_alignment,telemetry_cost,hardware_cost_penalty,droop_anchor_score,importance_score,graph_method
A,CPU Voltage,SENSOR,0.0,0.0,0.0,0.0349982622791146,1.2,1.0,1.0,0.0070965834546280184,stable_rank_precision
A,Core0 (Socket 0).10_L2MPI,MEMORY,0.4143083106312681,0.3333333333333333,0.4143083106312681,0.2974022543887151,1.08,0.9000000000000001,0.0,0.4175739646464238,stable_rank_precision
A,Core0 (Socket 0).11_C0res%,CORE,0.4160309615189152,0.2222222222222222,0.4160309615189152,0.14502515498646806,1.0,0.8333333333333334,0.35,0.38126071220550617,stable_rank_precision
A,Core0 (Socket 0).12_C1res%,CORE,0.5912546781799003,0.4444444444444444,0.5912546781799003,0.1061910520264095,1.0,0.8333333333333334,0.35,0.5566504652825088,stable_rank_precision
A,Core0 (Socket 0).14_C6res%,CORE,0.865205720583321,0.7638888888888888,0.8734110708394186,0.20624044648567527,1.0,0.8333333333333334,0.35,0.8634633288607779,stable_rank_precision
A,Core0 (Socket 0).15_C7res%,CORE,0.5537864744751869,0.5555555555555556,0.5537864744751869,0.12593026503549226,1.0,0.8333333333333334,0.35,0.5701769512109883,stable_rank_precision
A,Core0 (Socket 0).16_TEMP,SENSOR,0.4860902898385996,0.4444444444444444,0.4860902898385996,0.10885532218305305,1.2,1.0,0.25,0.40577423463679485,stable_rank_precision
A,Core0 (Socket 0).17_INST,CORE,0.6051613727183571,0.7777777777777778,0.6051613727183571,0.14356786132613789,1.0,0.8333333333333334,0.0,0.6764354400409053,stable_rank_precision
A,Core0 (Socket 0).18_ACYC,CORE,0.5274821073685775,0.5416666666666666,0.5356874576246751,0.5114741678763267,1.0,0.8333333333333334,0.0,0.6441597410527921,stable_rank_precision
A,Core0 (Socket 0).19_TIME(ticks),CORE,0.46627105869455615,0.4444444444444444,0.46627105869455615,0.48945166344773283,1.0,0.8333333333333334,0.0,0.5662752869277086,stable_rank_precision
A,Core0 (Socket 0).1_IPC,CORE,0.3725754014718083,0.2222222222222222,0.3725754014718083,0.38551666386310335,1.0,0.8333333333333334,0.0,0.4107001123497685,stable_rank_precision
A,Core0 (Socket 0).20_PhysIPC,CORE,0.37257540147180923,0.2222222222222222,0.37257540147180923,0.38551666386310335,1.0,0.8333333333333334,0.0,0.41070011234976916,stable_rank_precision
