setup,event,workloads,mean_mcc,minimum_mcc,mean_fpr,maximum_fpr,mean_mcc_gap_to_workload_oracle,maximum_mcc_gap_to_workload_oracle
A,DROOP,13,0.9891628274151186,0.859116756396542,0.01282051282051282,0.16666666666666666,0.010837172584881389,0.14088324360345805
A,RH,13,0.9943454697235949,0.9264911064067352,0.006153846153846154,0.08,0.005654530276404988,0.07350889359326485
B,DROOP,13,0.9909189137299887,0.8968283761447912,0.007742584213172447,0.1006535947712418,0.00908108627001132,0.10317162385520884
B,SPECTRE,13,0.989839420203388,0.8679124626440448,0.01282051282051282,0.16666666666666666,0.010160579796611943,0.13208753735595524
