CITADEL notebook progress log
seed=123 threads=1 preset=full
[2026-06-01 22:35:39] | [DROOP-adaptive CINTAS] | adding transient features | 2/52 (3.8%) | elapsed=1.6s | DDR4_DROOP_dj.csv: rows=10,000 cols=181
[2026-06-01 22:35:40] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 2/52 (3.8%) | elapsed=1.9s | DDR4_DROOP_dj.csv: cols=421
[2026-06-01 22:35:41] | [DROOP-adaptive CINTAS] | loading source telemetry | 3/52 (5.8%) | elapsed=3.2s | DDR4_DROOP_dp.csv
[2026-06-01 22:35:41] | [DROOP-adaptive CINTAS] | adding transient features | 3/52 (5.8%) | elapsed=3.2s | DDR4_DROOP_dp.csv: rows=10,000 cols=181
[2026-06-01 22:35:41] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 3/52 (5.8%) | elapsed=3.5s | DDR4_DROOP_dp.csv: cols=421
[2026-06-01 22:35:42] | [DROOP-adaptive CINTAS] | loading source telemetry | 4/52 (7.7%) | elapsed=4.7s | DDR4_DROOP_gl.csv
[2026-06-01 22:35:43] | [DROOP-adaptive CINTAS] | adding transient features | 4/52 (7.7%) | elapsed=4.8s | DDR4_DROOP_gl.csv: rows=10,000 cols=181
[2026-06-01 22:35:43] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 4/52 (7.7%) | elapsed=5.0s | DDR4_DROOP_gl.csv: cols=421
[2026-06-01 22:35:44] | [DROOP-adaptive CINTAS] | loading source telemetry | 5/52 (9.6%) | elapsed=6.4s | DDR4_DROOP_gs.csv
[2026-06-01 22:35:44] | [DROOP-adaptive CINTAS] | adding transient features | 5/52 (9.6%) | elapsed=6.4s | DDR4_DROOP_gs.csv: rows=10,000 cols=181
[2026-06-01 22:35:44] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 5/52 (9.6%) | elapsed=6.7s | DDR4_DROOP_gs.csv: cols=421
[2026-06-01 22:35:46] | [DROOP-adaptive CINTAS] | loading source telemetry | 6/52 (11.5%) | elapsed=8.0s | DDR4_DROOP_ha.csv
[2026-06-01 22:35:46] | [DROOP-adaptive CINTAS] | adding transient features | 6/52 (11.5%) | elapsed=8.1s | DDR4_DROOP_ha.csv: rows=10,000 cols=181
[2026-06-01 22:35:46] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 6/52 (11.5%) | elapsed=8.3s | DDR4_DROOP_ha.csv: cols=421
[2026-06-01 22:35:47] | [DROOP-adaptive CINTAS] | loading source telemetry | 7/52 (13.5%) | elapsed=9.6s | DDR4_DROOP_ja.csv
[2026-06-01 22:35:47] | [DROOP-adaptive CINTAS] | adding transient features | 7/52 (13.5%) | elapsed=9.7s | DDR4_DROOP_ja.csv: rows=10,000 cols=181
[2026-06-01 22:35:48] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 7/52 (13.5%) | elapsed=9.9s | DDR4_DROOP_ja.csv: cols=421
[2026-06-01 22:35:49] | [DROOP-adaptive CINTAS] | loading source telemetry | 8/52 (15.4%) | elapsed=11.5s | DDR4_DROOP_mm.csv
[2026-06-01 22:35:49] | [DROOP-adaptive CINTAS] | adding transient features | 8/52 (15.4%) | elapsed=11.5s | DDR4_DROOP_mm.csv: rows=10,000 cols=181
[2026-06-01 22:35:50] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 8/52 (15.4%) | elapsed=11.8s | DDR4_DROOP_mm.csv: cols=421
[2026-06-01 22:35:51] | [DROOP-adaptive CINTAS] | loading source telemetry | 9/52 (17.3%) | elapsed=13.1s | DDR4_DROOP_ni.csv
[2026-06-01 22:35:51] | [DROOP-adaptive CINTAS] | adding transient features | 9/52 (17.3%) | elapsed=13.1s | DDR4_DROOP_ni.csv: rows=10,000 cols=181
