setup,replicate_index,seed,decision_rule,n_blocks,n_alarms,calibration_threshold_rank,calibration_block_count,overall_benign_fpr,boundary_block_fpr,within_phase_fpr,reference_compatibility_pvalue,reference_stale,reference_stale_naive,threshold,threshold_rule,workload_orders
A,6,50158,current,156,1,104,104,0.00641025641025641,0.0,0.008547008547008548,0.7915075382652375,0,0,5.330661725605412,finite_sample_upper_rank_with_strict_exceedance,"[[""HA"", ""SH"", ""DFT"", ""DJ"", ""JA"", ""OE"", ""GS"", ""MM"", ""NI"", ""GL"", ""PI"", ""DP"", ""TR""], [""HA"", ""DP"", ""GS"", ""GL"", ""NI"", ""MM"", ""PI"", ""TR"", ""OE"", ""SH"", ""DFT"", ""DJ"", ""JA""], [""GL"", ""TR"", ""DP"", ""OE"", ""NI"", ""PI"", ""MM"", ""DJ"", ""GS"", ""DFT"", ""SH"", ""JA"", ""HA""], [""PI"", ""HA"", ""DP"", ""OE"", ""SH"", ""GL"", ""JA"", ""DFT"", ""GS"", ""DJ"", ""NI"", ""MM"", ""TR""], [""DP"", ""OE"", ""NI"", ""GL"", ""PI"", ""DJ"", ""TR"", ""GS"", ""HA"", ""DFT"", ""JA"", ""MM"", ""SH""]]"
A,6,50158,persistence,156,0,104,104,0.0,0.0,0.0,1.0,0,0,5.330661725605412,finite_sample_upper_rank_with_strict_exceedance,"[[""HA"", ""SH"", ""DFT"", ""DJ"", ""JA"", ""OE"", ""GS"", ""MM"", ""NI"", ""GL"", ""PI"", ""DP"", ""TR""], [""HA"", ""DP"", ""GS"", ""GL"", ""NI"", ""MM"", ""PI"", ""TR"", ""OE"", ""SH"", ""DFT"", ""DJ"", ""JA""], [""GL"", ""TR"", ""DP"", ""OE"", ""NI"", ""PI"", ""MM"", ""DJ"", ""GS"", ""DFT"", ""SH"", ""JA"", ""HA""], [""PI"", ""HA"", ""DP"", ""OE"", ""SH"", ""GL"", ""JA"", ""DFT"", ""GS"", ""DJ"", ""NI"", ""MM"", ""TR""], [""DP"", ""OE"", ""NI"", ""GL"", ""PI"", ""DJ"", ""TR"", ""GS"", ""HA"", ""DFT"", ""JA"", ""MM"", ""SH""]]"
A,7,60165,current,156,0,104,104,0.0,0.0,0.0,1.0,0,0,4.538626624611423,finite_sample_upper_rank_with_strict_exceedance,"[[""DJ"", ""DFT"", ""GL"", ""GS"", ""NI"", ""TR"", ""OE"", ""DP"", ""PI"", ""JA"", ""SH"", ""MM"", ""HA""], [""DFT"", ""SH"", ""DP"", ""GL"", ""OE"", ""MM"", ""GS"", ""JA"", ""DJ"", ""NI"", ""HA"", ""TR"", ""PI""], [""OE"", ""DP"", ""GS"", ""SH"", ""JA"", ""MM"", ""DFT"", ""PI"", ""NI"", ""GL"", ""DJ"", ""HA"", ""TR""], [""SH"", ""NI"", ""JA"", ""GL"", ""DFT"", ""TR"", ""DP"", ""HA"", ""DJ"", ""OE"", ""PI"", ""MM"", ""GS""], [""GL"", ""DP"", ""DJ"", ""OE"", ""PI"", ""HA"", ""GS"", ""MM"", ""SH"", ""DFT"", ""TR"", ""NI"", ""JA""]]"
A,7,60165,persistence,156,0,104,104,0.0,0.0,0.0,1.0,0,0,4.538626624611423,finite_sample_upper_rank_with_strict_exceedance,"[[""DJ"", ""DFT"", ""GL"", ""GS"", ""NI"", ""TR"", ""OE"", ""DP"", ""PI"", ""JA"", ""SH"", ""MM"", ""HA""], [""DFT"", ""SH"", ""DP"", ""GL"", ""OE"", ""MM"", ""GS"", ""JA"", ""DJ"", ""NI"", ""HA"", ""TR"", ""PI""], [""OE"", ""DP"", ""GS"", ""SH"", ""JA"", ""MM"", ""DFT"", ""PI"", ""NI"", ""GL"", ""DJ"", ""HA"", ""TR""], [""SH"", ""NI"", ""JA"", ""GL"", ""DFT"", ""TR"", ""DP"", ""HA"", ""DJ"", ""OE"", ""PI"", ""MM"", ""GS""], [""GL"", ""DP"", ""DJ"", ""OE"", ""PI"", ""HA"", ""GS"", ""MM"", ""SH"", ""DFT"", ""TR"", ""NI"", ""JA""]]"
A,8,70172,current,156,0,104,104,0.0,0.0,0.0,1.0,0,0,5.229772852445538,finite_sample_upper_rank_with_strict_exceedance,"[[""DFT"", ""GS"", ""MM"", ""DP"", ""OE"", ""SH"", ""GL"", ""JA"", ""HA"", ""PI"", ""NI"", ""DJ"", ""TR""], [""GL"", ""OE"", ""DJ"", ""NI"", ""PI"", ""HA"", ""SH"", ""JA"", ""DP"", ""MM"", ""DFT"", ""TR"", ""GS""], [""DP"", ""OE"", ""GS"", ""GL"", ""DFT"", ""PI"", ""SH"", ""DJ"", ""JA"", ""MM"", ""NI"", ""TR"", ""HA""], [""GS"", ""MM"", ""PI"", ""GL"", ""OE"", ""DP"", ""NI"", ""HA"", ""DFT"", ""SH"", ""DJ"", ""TR"", ""JA""], [""DP"", ""TR"", ""NI"", ""SH"", ""DJ"", ""HA"", ""OE"", ""PI"", ""MM"", ""GS"", ""GL"", ""JA"", ""DFT""]]"
A,8,70172,persistence,156,0,104,104,0.0,0.0,0.0,1.0,0,0,5.229772852445538,finite_sample_upper_rank_with_strict_exceedance,"[[""DFT"", ""GS"", ""MM"", ""DP"", ""OE"", ""SH"", ""GL"", ""JA"", ""HA"", ""PI"", ""NI"", ""DJ"", ""TR""], [""GL"", ""OE"", ""DJ"", ""NI"", ""PI"", ""HA"", ""SH"", ""JA"", ""DP"", ""MM"", ""DFT"", ""TR"", ""GS""], [""DP"", ""OE"", ""GS"", ""GL"", ""DFT"", ""PI"", ""SH"", ""DJ"", ""JA"", ""MM"", ""NI"", ""TR"", ""HA""], [""GS"", ""MM"", ""PI"", ""GL"", ""OE"", ""DP"", ""NI"", ""HA"", ""DFT"", ""SH"", ""DJ"", ""TR"", ""JA""], [""DP"", ""TR"", ""NI"", ""SH"", ""DJ"", ""HA"", ""OE"", ""PI"", ""MM"", ""GS"", ""GL"", ""JA"", ""DFT""]]"
A,9,80179,current,156,1,104,104,0.00641025641025641,0.0,0.008547008547008548,0.7915075382652375,0,0,5.5621777404277895,finite_sample_upper_rank_with_strict_exceedance,"[[""GS"", ""GL"", ""JA"", ""HA"", ""TR"", ""MM"", ""DP"", ""NI"", ""SH"", ""OE"", ""PI"", ""DFT"", ""DJ""], [""HA"", ""TR"", ""SH"", ""GL"", ""JA"", ""OE"", ""DFT"", ""DJ"", ""NI"", ""MM"", ""DP"", ""PI"", ""GS""], [""OE"", ""GL"", ""DFT"", ""TR"", ""DP"", ""HA"", ""SH"", ""NI"", ""GS"", ""MM"", ""JA"", ""DJ"", ""PI""], [""OE"", ""DP"", ""DJ"", ""GS"", ""SH"", ""HA"", ""DFT"", ""GL"", ""PI"", ""MM"", ""JA"", ""TR"", ""NI""], [""GS"", ""JA"", ""DP"", ""MM"", ""DFT"", ""TR"", ""DJ"", ""PI"", ""HA"", ""SH"", ""OE"", ""NI"", ""GL""]]"
A,9,80179,persistence,156,0,104,104,0.0,0.0,0.0,1.0,0,0,5.5621777404277895,finite_sample_upper_rank_with_strict_exceedance,"[[""GS"", ""GL"", ""JA"", ""HA"", ""TR"", ""MM"", ""DP"", ""NI"", ""SH"", ""OE"", ""PI"", ""DFT"", ""DJ""], [""HA"", ""TR"", ""SH"", ""GL"", ""JA"", ""OE"", ""DFT"", ""DJ"", ""NI"", ""MM"", ""DP"", ""PI"", ""GS""], [""OE"", ""GL"", ""DFT"", ""TR"", ""DP"", ""HA"", ""SH"", ""NI"", ""GS"", ""MM"", ""JA"", ""DJ"", ""PI""], [""OE"", ""DP"", ""DJ"", ""GS"", ""SH"", ""HA"", ""DFT"", ""GL"", ""PI"", ""MM"", ""JA"", ""TR"", ""NI""], [""GS"", ""JA"", ""DP"", ""MM"", ""DFT"", ""TR"", ""DJ"", ""PI"", ""HA"", ""SH"", ""OE"", ""NI"", ""GL""]]"
A,10,90186,current,156,0,104,104,0.0,0.0,0.0,1.0,0,0,6.395145853824476,finite_sample_upper_rank_with_strict_exceedance,"[[""JA"", ""DFT"", ""PI"", ""GS"", ""DJ"", ""DP"", ""MM"", ""NI"", ""SH"", ""HA"", ""TR"", ""GL"", ""OE""], [""HA"", ""MM"", ""NI"", ""GL"", ""DP"", ""PI"", ""OE"", ""TR"", ""GS"", ""SH"", ""JA"", ""DJ"", ""DFT""], [""DP"", ""GS"", ""MM"", ""HA"", ""TR"", ""JA"", ""OE"", ""DFT"", ""GL"", ""SH"", ""NI"", ""PI"", ""DJ""], [""JA"", ""SH"", ""TR"", ""GL"", ""HA"", ""DFT"", ""GS"", ""PI"", ""MM"", ""OE"", ""DJ"", ""DP"", ""NI""], [""GL"", ""DJ"", ""GS"", ""SH"", ""HA"", ""PI"", ""DFT"", ""MM"", ""TR"", ""DP"", ""NI"", ""JA"", ""OE""]]"
A,10,90186,persistence,156,0,104,104,0.0,0.0,0.0,1.0,0,0,6.395145853824476,finite_sample_upper_rank_with_strict_exceedance,"[[""JA"", ""DFT"", ""PI"", ""GS"", ""DJ"", ""DP"", ""MM"", ""NI"", ""SH"", ""HA"", ""TR"", ""GL"", ""OE""], [""HA"", ""MM"", ""NI"", ""GL"", ""DP"", ""PI"", ""OE"", ""TR"", ""GS"", ""SH"", ""JA"", ""DJ"", ""DFT""], [""DP"", ""GS"", ""MM"", ""HA"", ""TR"", ""JA"", ""OE"", ""DFT"", ""GL"", ""SH"", ""NI"", ""PI"", ""DJ""], [""JA"", ""SH"", ""TR"", ""GL"", ""HA"", ""DFT"", ""GS"", ""PI"", ""MM"", ""OE"", ""DJ"", ""DP"", ""NI""], [""GL"", ""DJ"", ""GS"", ""SH"", ""HA"", ""PI"", ""DFT"", ""MM"", ""TR"", ""DP"", ""NI"", ""JA"", ""OE""]]"
B,1,123,current,156,3,104,104,0.019230769230769232,0.0,0.02564102564102564,0.20578858699445732,0,1,4.945885478329177,finite_sample_upper_rank_with_strict_exceedance,"[[""NI"", ""HA"", ""MM"", ""DP"", ""GL"", ""TR"", ""OE"", ""PI"", ""SH"", ""JA"", ""DJ"", ""GS"", ""DFT""], [""GS"", ""JA"", ""SH"", ""OE"", ""MM"", ""DFT"", ""DJ"", ""GL"", ""PI"", ""NI"", ""HA"", ""TR"", ""DP""], [""SH"", ""DJ"", ""NI"", ""GL"", ""HA"", ""DP"", ""TR"", ""DFT"", ""PI"", ""GS"", ""MM"", ""OE"", ""JA""], [""DJ"", ""TR"", ""OE"", ""DP"", ""GL"", ""HA"", ""GS"", ""MM"", ""SH"", ""NI"", ""PI"", ""JA"", ""DFT""], [""NI"", ""JA"", ""DFT"", ""GL"", ""HA"", ""SH"", ""OE"", ""GS"", ""MM"", ""DJ"", ""DP"", ""PI"", ""TR""]]"
